wayid,num_samples,num_hours_avail
267252124,1251,22
25705118,1245,19
345260060,1220,22
24995544,1219,16
678371491,1209,19
658512109,1209,19
671410392,1204,17
95932127,1202,23
39886098,1202,23
25858036,1201,19
569314237,1200,16
679754193,1197,18
680076934,1184,13
680469040,1178,21
605175263,1178,18
665120214,1169,17
144986868,1167,18
22797604,1166,17
680342277,1162,21
25858176,1151,18
658219761,1148,19
26622323,1146,20
95932101,1144,23
25747923,1136,22
563342671,1128,20
556999028,1124,16
25889488,1117,19
678182383,1104,14
93672197,1104,17
568922814,1092,23
24028012,1092,20
24027521,1092,19
680915357,1089,23
25796503,1084,18
436796435,1076,23
659024537,1076,21
332240215,1075,15
511915672,1074,19
569303001,1066,22
679734460,1064,22
87651441,1048,23
658228778,1044,15
658244118,1032,15
658244119,1029,13
675667941,1025,21
97862884,1024,22
173848788,1022,20
132741571,1022,23
309003288,1018,22
26472581,1017,23
26742691,1016,16
239183936,1015,17
679990905,1014,20
182627098,1013,22
679956746,1011,23
239858012,1011,19
568922804,1010,23
24716402,1008,22
26787944,1002,23
678374461,1001,19
25342066,1000,17
40121545,998,22
658228781,980,15
131908638,979,21
162142249,978,22
41376783,966,18
678444141,964,20
678438300,955,18
88407201,945,22
640073513,940,22
95932107,938,17
297314925,938,18
359081804,937,17
4727390,937,13
671227856,933,23
680076935,930,15
658240395,927,15
265735810,923,21
658273346,921,20
239795145,920,19
26842796,914,21
26727826,909,20
674885689,908,22
25764800,908,18
368031189,906,18
678392587,905,18
93672090,901,17
658241797,900,15
674918646,890,22
24716397,889,23
154232792,885,14
26772804,882,15
659312607,881,19
24968902,880,19
97695356,876,23
679190869,873,17
26787836,873,23
25473201,866,21
679956719,858,19
77344712,857,23
93671063,857,18
659308923,854,18
658241795,852,16
26468744,841,23
681211545,840,23
144986186,824,16
671415153,823,18
326531780,819,15
436796434,819,23
26727402,816,16
671415154,815,19
553101309,813,16
77344707,809,23
679777032,805,20
144986611,804,16
25889213,802,21
680063129,794,19
4775792,794,23
232140231,791,18
659312604,785,17
679777031,784,20
658240404,783,16
680332718,778,18
507775396,775,19
102148414,775,22
419051578,757,20
659929606,753,21
627144565,748,23
45554331,743,23
659308920,739,20
680373305,737,21
44635131,733,16
678094367,726,21
25889340,712,21
679847519,704,23
678392588,697,17
289979586,696,23
22810562,695,14
693600701,694,16
671264349,692,19
103156413,684,23
675471709,683,21
267437354,682,22
436796421,682,21
259332379,679,23
680256930,679,18
56397018,679,22
187196991,677,22
658418125,675,18
137340059,673,20
137838051,670,17
25764786,668,13
678438291,664,16
680556389,661,16
419051573,658,17
72672643,654,21
93671460,654,17
435093686,648,18
552417258,647,19
658718871,639,21
25592426,636,22
553576073,634,23
363386138,633,23
25773454,629,18
658709085,628,18
681098569,627,23
671412065,626,16
259332952,625,23
4752674,623,14
25858030,623,19
679190870,619,19
25830601,615,20
87651578,612,16
77344711,610,21
24968507,608,18
675405815,605,19
239559122,604,22
679376934,604,23
184369754,604,23
659299030,599,14
166137290,595,21
184369918,595,23
369117816,595,18
42121155,594,19
91859123,592,15
532657325,586,15
678371481,585,21
24025147,580,22
669942056,579,20
671818463,576,23
313794090,575,23
419051574,571,16
432316789,569,20
657694363,568,22
162817966,566,23
24716692,564,21
137340065,563,20
580233751,563,13
674441599,560,21
87644064,558,21
532655578,556,17
48068498,556,20
131716022,548,21
25773048,546,23
437905715,545,19
665052536,541,18
673922790,541,23
532657336,537,15
24968842,535,17
26468754,534,20
96785461,531,20
53627854,531,21
26989711,529,18
532657328,524,19
658236306,522,22
39962891,518,20
26583501,516,17
680332719,511,16
658273347,511,20
239074444,508,17
44487122,508,20
679754194,505,15
25762011,502,18
182627064,496,23
4963135,496,19
658219763,495,18
680253314,492,21
93671462,492,17
532655589,490,20
4741906,480,19
430577496,479,15
678324220,473,19
4741897,473,20
25342207,470,18
26791396,469,23
680256931,469,14
658219759,467,18
679390761,466,19
259886213,466,20
679187468,463,20
679357717,462,16
45096135,455,19
101196386,455,23
678438304,449,19
24951197,449,19
664981330,446,23
87652080,444,18
26622136,442,15
658421882,441,19
674988233,436,22
678335131,434,13
73540105,434,19
657601430,433,19
53057475,433,20
39885359,432,18
663223953,432,15
25342198,430,13
678438290,429,15
663223955,425,15
678543419,424,19
155302827,424,18
259332014,422,19
56311433,422,22
87652992,418,23
671282902,417,17
26598000,416,18
658709086,416,17
87650830,408,19
419051576,406,21
580233743,405,15
669942057,405,20
26787907,404,20
48227467,402,15
113187436,400,17
668295094,398,22
680531333,398,16
680056347,398,13
532657331,397,15
678333131,396,20
674958758,392,21
162818138,391,21
678717270,389,19
532657337,388,21
99179058,388,14
658709094,387,19
99906086,387,22
679190875,382,17
674648909,380,20
435093685,380,17
515100446,378,23
95635657,377,21
558314874,377,17
659024530,376,19
239183951,376,20
25773441,373,17
671416558,372,18
24025850,371,19
23754648,369,19
349158487,368,19
680243342,363,23
48894158,363,19
659024531,363,19
39962893,358,20
672298169,355,16
94580366,352,19
55368212,351,20
668645825,351,21
87645045,349,18
297314921,348,15
659308925,347,18
76776758,346,23
678566592,346,19
26622679,345,13
394592469,343,16
679359047,342,19
674978988,342,20
659304617,341,14
504904502,341,22
24717295,339,16
97085101,338,19
454736995,337,20
693712598,337,15
283725042,334,17
42411404,333,22
239192905,331,23
173820859,331,20
25889085,330,17
264278643,329,15
679645505,328,13
668673017,328,19
419051575,325,20
25342215,324,11
25342216,324,10
675089112,322,22
172265312,321,19
472115187,320,23
97816075,317,22
239409013,316,21
658244117,315,14
87652079,314,20
4723987,314,12
25850353,314,17
70562359,314,20
25849843,312,16
101201626,312,19
680095197,308,20
76771111,308,16
678566591,304,18
231493340,304,23
26622381,304,13
627144564,303,22
161929528,300,19
25342202,300,12
26622376,299,13
25064171,295,19
398385928,294,16
679998463,293,22
129884922,291,13
76841209,290,22
658273358,290,23
26469234,289,17
669935790,284,19
256605225,284,20
10035730,284,21
679998465,284,22
87634836,283,20
680267918,281,17
532655572,281,18
155418710,281,21
679956745,280,23
231493341,280,22
590985723,280,15
24968896,279,20
563626403,279,14
126626822,278,21
89821743,276,22
25342249,273,17
161597046,271,20
560142847,271,19
665052568,270,19
673405974,270,17
4761559,270,13
25739211,270,17
679998464,269,22
97684967,268,23
672881146,268,20
231504732,268,17
678374462,264,19
239409014,263,18
80458742,261,21
26430708,260,22
80458751,259,20
42121156,259,21
55368217,258,19
239183941,257,21
23754770,255,20
231493761,254,21
658273369,252,18
657694364,252,17
4761561,251,14
40133707,251,20
658289127,249,18
101196417,248,20
184370110,248,22
404307200,248,18
41454982,245,20
25342210,245,16
658409698,242,20
26787867,240,20
24042661,236,21
671416276,236,16
173793758,235,19
4821502,235,16
173813942,234,21
239784686,233,19
680594295,232,18
679642361,232,16
48226339,231,22
658559810,230,21
25858228,230,15
678058712,230,20
504904498,227,21
238808141,225,20
128126803,224,20
48205009,223,16
165527205,222,20
679486709,221,17
532655575,221,17
671412308,221,22
565844058,221,12
668295093,221,13
25537964,217,16
226154285,216,18
678094366,215,18
532655587,214,17
113040690,214,19
161929864,213,15
25064072,212,18
40121533,211,17
51067999,211,20
285168910,210,14
87645333,210,18
154232822,209,13
555160416,208,21
552362663,207,16
674648910,206,21
182627093,205,17
84721882,203,13
161998546,201,22
680251438,200,15
309003286,200,19
325928150,199,17
658241796,197,15
231934727,196,15
247463076,195,20
170847114,193,19
93671349,191,21
671818464,191,19
162818949,190,18
659006854,189,21
659308926,188,18
87651111,188,18
87652291,188,19
668456101,188,17
686186209,188,14
26584161,187,16
667463174,184,19
678674766,184,16
568922808,184,21
226427649,182,22
677048820,182,21
25764767,181,12
80458750,181,18
674685734,180,19
369653566,180,18
25342067,180,14
129973206,179,19
184369901,179,20
283725041,179,17
41018258,178,17
25889272,177,7
43396276,175,13
679982429,175,14
680350660,175,13
663145112,174,23
332245945,173,17
673354081,173,20
679660002,172,18
24951235,171,18
419051580,171,18
669387022,170,18
27090045,167,20
671414196,167,15
163793955,167,14
580233754,166,15
658411190,165,20
678438292,164,15
4727392,164,14
24716592,164,16
674685736,163,19
361611269,158,17
673354080,157,21
24968788,157,14
669942055,156,17
42011007,155,14
25064591,155,19
680950840,153,16
374433325,153,19
247463061,153,19
239432198,152,16
161998547,152,21
423111582,151,17
231498624,150,21
204545862,150,11
661357406,148,20
532655593,148,19
663481231,147,18
680475735,146,12
