wayid,num_samples
22797597,14197
643721755,14196
162140494,14172
658240406,14169
239190766,14166
679837859,14152
640082455,14139
96882517,14128
24716338,14127
658697092,14123
554686822,14122
678327317,14121
184369652,14104
678335135,14103
24009169,14097
658697085,14091
563011792,14089
239429513,14078
658219778,14071
679519425,14052
321619718,14046
361362054,14038
658575810,14036
4723976,14028
640085850,14025
674984260,14019
679403931,14016
4752667,14009
678437650,14007
658208342,13993
427264549,13989
678331780,13988
427222040,13987
658575802,13976
4741880,13973
271399316,13972
162025586,13946
658219773,13946
567085636,13939
97815369,13938
4741907,13926
4716860,13923
658240393,13922
39885366,13911
640088049,13906
678327316,13901
337517575,13879
497021175,13879
40056254,13872
658240410,13864
567085673,13845
42399907,13826
563011790,13825
659308915,13821
640073510,13821
363328070,13817
658240413,13809
567085658,13808
42121016,13804
658240412,13802
184369605,13798
567085660,13798
239110927,13793
239559114,13788
22797596,13786
184369608,13786
184369607,13773
25747596,13772
39881417,13767
567085655,13765
363328071,13756
675672891,13739
427222046,13714
679646333,13687
640085854,13671
24716086,13669
658236307,13664
43613936,13663
567085638,13644
24009793,13631
331572549,13628
532650191,13627
680005244,13622
25746711,13608
115591631,13605
97815366,13601
239190769,13598
25060261,13595
231508266,13594
679148188,13593
640005923,13586
24009833,13583
658223880,13580
231490822,13578
419291434,13576
658223870,13568
44487115,13567
640088045,13565
239559124,13560
640085849,13558
567085637,13558
24026970,13552
680871485,13549
659304613,13540
226151337,13539
532650193,13537
312906760,13535
312485790,13532
679947305,13529
658273334,13528
312906755,13523
658409678,13509
680284466,13505
25748359,13503
658223856,13500
532650198,13475
679837860,13472
162025587,13460
563011794,13458
7726728,13457
639998851,13442
678314942,13442
567085640,13442
26842934,13440
515200208,13439
640088043,13435
678333304,13431
239559107,13430
278017671,13429
311729917,13426
239192904,13426
4751849,13422
323612093,13417
231201988,13410
154232800,13409
658240407,13406
556600495,13399
581225465,13396
658240411,13392
161487291,13389
494796461,13381
658240414,13377
515200206,13367
231503843,13367
278017672,13364
40317987,13344
552376627,13329
239559115,13325
538102826,13323
39571275,13316
24042623,13310
321624886,13302
231026428,13293
312340551,13286
563011793,13284
312906758,13278
658289093,13278
665121576,13277
231503846,13277
427264560,13263
532650200,13261
40006028,13258
392064654,13255
567085648,13249
680305766,13245
297314919,13241
672119333,13238
344083455,13204
658240394,13200
658409680,13200
658725247,13200
231510707,13196
678635210,13190
680354993,13189
678327892,13187
419291440,13169
337522385,13161
532650203,13161
231510709,13149
8462669,13141
4761150,13136
659308919,13129
231504515,13128
4752672,13110
643635638,13075
361360703,13069
529987011,13068
672119332,13064
25703659,13054
640082453,13045
44035355,13042
23754511,13036
427264558,13031
25786642,13026
26622194,12995
301694732,12990
7726502,12982
169041727,12973
39962868,12973
231510698,12948
239168029,12945
680915355,12941
4760502,12939
654756985,12928
24042621,12909
678444144,12907
489432383,12904
24717230,12895
4752421,12885
640074592,12885
4741905,12884
326666381,12877
231932147,12876
679837858,12859
654756984,12852
678371495,12849
321619727,12842
39573543,12832
265007050,12824
25739286,12823
643635637,12820
40478815,12816
678371494,12815
26584254,12809
26539541,12807
675986562,12806
512985264,12805
658318939,12805
326666378,12798
680305764,12798
427222039,12792
44629696,12783
326666379,12776
231493242,12774
680256083,12773
231504517,12764
659301395,12755
26472167,12743
663223936,12738
658236305,12738
658409699,12732
680247038,12723
658208345,12720
239429516,12713
144107558,12704
659301394,12701
231504516,12685
50996459,12680
515200220,12672
678314566,12662
344083166,12662
4775773,12638
326666376,12635
668455401,12631
326666380,12623
326666382,12622
639986098,12619
231493252,12618
39885381,12617
680305765,12615
239183915,12598
336024451,12588
658208331,12583
231504514,12581
678635209,12562
555081132,12533
326666384,12532
679967612,12523
658240409,12519
26842952,12505
40056257,12503
659301401,12499
43159846,12496
4734781,12493
16213875,12481
25606246,12469
97684962,12467
4761548,12466
679837856,12465
97815367,12460
335603380,12449
25773749,12440
679982431,12434
22797659,12424
239168031,12422
4761563,12415
674968846,12415
231510703,12412
97815365,12390
184369602,12384
26723346,12379
510791494,12377
4775762,12374
563011788,12365
555082100,12359
419291439,12348
659312606,12342
675986550,12341
679633503,12329
40056251,12323
679198775,12312
312369039,12311
239559102,12295
680062808,12279
640082456,12270
680947237,12259
335603381,12256
184369604,12249
22797623,12246
312340553,12238
24009501,12232
512997806,12215
25606234,12201
680354992,12196
184369887,12188
658208324,12187
43159847,12162
658208326,12156
51164168,12156
675986552,12145
556588931,12133
658208340,12127
673415888,12106
680284467,12087
569279472,12067
369098860,12048
321619713,12044
432316785,12039
658208338,12036
231510705,12036
231510708,12030
659301398,12028
25739194,12021
680338521,12021
659308906,12021
659301399,11981
99683608,11973
33136075,11963
43270177,11960
133901005,11957
671417090,11932
39885392,11925
44035354,11906
231510702,11904
532650195,11899
285168909,11864
680354994,11861
516178118,11861
40057118,11832
640005917,11817
572078974,11812
658208335,11811
658208333,11809
24011501,11797
553594283,11794
51543077,11788
672119335,11780
56311453,11780
680032417,11773
432316786,11763
231502140,11750
247463062,11749
231502117,11744
260453242,11725
369096482,11713
675986558,11712
24716054,11702
580233752,11701
231510999,11693
678327319,11690
25858169,11686
678314569,11685
24009444,11682
86401652,11672
659308913,11671
24009828,11665
494796462,11663
4741908,11658
679635766,11648
679635765,11646
95991727,11634
265735809,11631
493736709,11619
672119331,11611
24009451,11610
678652463,11600
658418119,11594
556600493,11593
39573541,11589
22797661,11585
7726144,11569
658223891,11551
22797664,11548
675672886,11548
344083456,11541
658409695,11540
658223887,11524
640073514,11524
655583144,11521
22804541,11519
581225464,11498
4723967,11489
347091661,11435
173820857,11428
25748368,11416
680553356,11412
659301396,11412
382141732,11405
678333307,11404
154232841,11392
286033100,11382
680551410,11378
24011418,11371
25773736,11369
337522389,11356
640088044,11347
321619722,11334
678327318,11331
685864459,11316
39519628,11301
239185909,11301
394592470,11288
4724000,11287
583039635,11276
25748372,11260
7726198,11257
4726692,11256
369093061,11253
580233744,11241
337521272,11206
639990921,11194
472115191,11190
294960061,11182
553306826,11176
658208347,11174
655574417,11156
532650199,11135
532650204,11135
679203004,11123
640088042,11123
658223830,11116
231934731,11113
678314567,11113
640005922,11107
640005921,11094
369093063,11074
658223867,11072
679968813,11059
672119330,11058
231502121,11042
679837855,11038
658223832,11030
231503849,11020
567085667,11017
679665956,11008
658223840,11004
271399315,10996
658223859,10995
640085851,10991
663142793,10986
25849925,10977
658240401,10976
556588928,10973
231503037,10971
664046290,10969
680533908,10968
679990874,10962
580233740,10956
40056341,10944
679968812,10934
337522388,10909
679658730,10895
42010975,10884
321619707,10882
538102825,10880
265736012,10876
39519105,10868
231503036,10864
22797607,10862
489432382,10852
95991726,10852
231503847,10822
184370020,10815
40056259,10814
659301400,10801
295905516,10796
425094084,10784
326666389,10778
8449973,10761
678327891,10725
679203005,10713
231503848,10712
26468882,10694
529988204,10685
25761965,10664
247463758,10663
239415338,10657
580233736,10636
97694540,10635
678333305,10632
43270176,10631
581225462,10616
658418122,10612
24716552,10594
307720124,10594
97684961,10582
552586858,10581
580233750,10557
4727393,10531
679646331,10528
675131430,10518
679964966,10516
655583139,10515
4741909,10500
8462702,10490
580233737,10481
114394273,10464
567085668,10452
567085669,10451
336024449,10440
675672890,10437
39519111,10429
184369603,10425
113187446,10416
337522387,10410
173820865,10402
567085651,10397
26472456,10389
388178010,10377
532650194,10374
678444143,10368
97694537,10365
432316783,10361
25761936,10351
680343418,10350
658418123,10343
472115190,10342
659308909,10342
556600494,10337
679963876,10318
673415886,10306
40187815,10297
24717346,10297
97676906,10279
330492794,10270
105268981,10257
580233741,10245
532650202,10236
34061840,10219
512985265,10213
22797662,10209
680551411,10208
95792925,10197
231510711,10191
25739184,10179
672119329,10174
643635636,10162
144107557,10154
384843190,10153
512985266,10151
567085644,10130
77343710,10119
665121967,10119
665052570,10115
326968549,10115
239190762,10113
658219755,10085
231503034,10084
231502131,10082
659301402,10074
231502134,10072
673415887,10068
231502113,10060
580233732,10052
659308908,10033
679968811,10023
680273737,10018
673354083,10004
680263998,10003
672119328,10001
512997812,9990
408293316,9988
247463077,9974
580233735,9960
580233747,9958
680915358,9951
428763830,9939
239190772,9935
556588935,9931
679646332,9930
95932149,9900
680305145,9895
265735811,9885
173820861,9876
678314568,9858
658418121,9852
450949696,9846
679508076,9820
676715100,9811
678328627,9809
184369597,9803
665121968,9769
292444196,9760
23754491,9758
659301397,9740
228807174,9731
580233733,9726
415494870,9721
23754747,9718
336026407,9715
542196882,9710
680308725,9703
581225463,9700
655574378,9699
25341981,9688
173793757,9687
554665808,9663
24829133,9659
679198784,9653
544090386,9649
655574382,9626
25858120,9608
681098570,9605
231503845,9601
39519106,9581
679406618,9569
643635635,9560
432316784,9558
679988853,9546
295905515,9545
450949697,9542
427849273,9537
658709080,9520
4724011,9518
25748216,9488
87647441,9487
680043348,9486
652583280,9481
136577675,9462
25473304,9447
233059636,9425
673781800,9425
659308914,9412
145120516,9409
679665957,9408
239194167,9404
672119325,9398
639994924,9398
44629731,9392
367770978,9389
297313743,9387
22804440,9383
7726738,9372
226151336,9371
231503035,9367
26472454,9365
312571657,9352
344084529,9349
680909350,9347
33174278,9341
679198778,9324
291877706,9284
154232784,9274
183810314,9266
679377199,9264
680007967,9259
680263996,9245
673354084,9244
227701267,9237
39885371,9219
679658731,9212
173959637,9206
680469091,9188
567024569,9188
322829696,9180
26469183,9172
233059635,9164
26468740,9125
532650192,9111
25858115,9098
352430679,9094
41294345,9094
659308907,9090
40121517,9081
53787717,9062
39885385,9027
39885367,9019
44487111,8997
583039636,8986
331053166,8976
162817965,8972
680103433,8958
678526555,8919
22810584,8909
672119334,8896
680343415,8896
227701266,8893
231026429,8866
680311067,8861
643309114,8833
512997811,8827
53787716,8827
25703549,8805
577999110,8801
655547451,8789
655574410,8786
